black_strategy,white_strategy,turn,white_move,black_move,winner,black_stones,white_stones,black_tau,white_tau,black_obligations,white_obligations,black_pair_atoms,white_pair_atoms,black_bulk_pressure,white_bulk_pressure,black_family_max,white_family_max,value_after_white,value_after_black
hybrid,hybrid,11,"[[6, -3], [5, 1]]","[[5, 0], [5, -5]]",,25,24,1,0,1,0,0,0,10.600000000000001,2.4,1,0,0.2400000000000001,-2001.04
hybrid,hybrid,12,"[[5, -1], [3, -5]]","[[-4, 1], [6, -1]]",,27,26,0,0,0,0,0,0,2.0,1.0,0,0,-0.29999999999999993,0.04999999999999999
hybrid,hybrid,13,"[[-4, 4], [1, 4]]","[[-3, 4], [1, -6]]",,29,28,0,0,0,0,0,0,0.4,0.8,0,0,-0.47000000000000014,0.28
hybrid,hybrid,14,"[[1, 5], [2, 4]]","[[-4, -1], [3, 3]]",,31,30,0,0,0,0,0,0,2.4000000000000004,0.6000000000000001,0,0,-1.1400000000000003,-0.21000000000000002
hybrid,hybrid,15,"[[-3, -2], [-4, -2]]","[[0, 5], [-3, -3]]",,33,32,0,0,0,0,0,0,0.2,0.0,0,0,-0.36000000000000004,-0.04000000000000001
min_bulk,earliest,0,"[[1, 0], [1, -1]]","[[0, -1], [1, -2]]",,3,2,0,0,0,0,0,0,12.399999999999997,3.0000000000000004,0,0,0.0,-1.3399999999999985
min_bulk,earliest,1,"[[-1, 0], [0, 1]]","[[0, -2], [3, -2]]",,5,4,0,0,0,0,0,0,19.399999999999995,7.000000000000003,0,0,0.0,0.2100000000000044
min_bulk,earliest,2,"[[2, -2], [-1, -1]]","[[0, -3], [0, -4]]",,7,6,1,0,2,0,0,0,39.000000000000014,12.999999999999996,2,0,0.0,-0.6500000000000075
min_bulk,earliest,3,"[[-1, 1], [-1, 2]]","[[2, -1], [0, -5]]",black,9,8,1,2,1,3,0,0,1031.8000000000009,46.0,1,3,0.0,-1000000000.0
min_bulk,min_tau,0,"[[1, 0], [1, -1]]","[[0, -1], [1, -2]]",,3,2,0,0,0,0,0,0,12.399999999999997,3.0000000000000004,0,0,0,-1.3399999999999985
min_bulk,min_tau,1,"[[-1, 0], [0, 1]]","[[0, -2], [3, -2]]",,5,4,0,0,0,0,0,0,19.399999999999995,7.000000000000003,0,0,0,0.2100000000000044
min_bulk,min_tau,2,"[[2, -2], [-1, -1]]","[[0, -3], [0, -4]]",,7,6,1,0,2,0,0,0,39.000000000000014,12.999999999999996,2,0,0,-0.6500000000000075
min_bulk,min_tau,3,"[[-1, 1], [0, -5]]","[[-1, 2], [-1, -2]]",,9,8,0,0,0,0,0,0,12.399999999999999,10.799999999999997,0,0,0,6.459999999999998
min_bulk,min_tau,4,"[[-2, 1], [1, 1]]","[[2, 1], [-4, 1]]",,11,10,0,0,0,0,0,0,19.199999999999992,10.799999999999994,0,0,-800,4.0799999999999965
min_bulk,min_tau,5,"[[-2, -1], [1, 2]]","[[-2, -2], [1, 3]]",,13,12,1,0,1,0,0,0,17.399999999999984,7.000000000000002,1,0,-400,0.9100000000000072
min_bulk,min_tau,6,"[[3, -1], [-3, -2]]","[[-1, -3], [-3, -1]]",,15,14,2,0,3,0,0,0,34.8,12.799999999999997,3,0,0,0.6199999999999992
min_bulk,min_tau,7,"[[-4, 0], [1, -5]]","[[2, -3], [-2, -3]]",,17,16,1,0,2,0,0,0,26.199999999999996,12.799999999999997,2,0,0,3.629999999999999
min_bulk,min_tau,8,"[[2, 0], [1, -3]]","[[4, -2], [-2, 4]]",,19,18,0,0,0,0,0,0,7.400000000000001,7.800000000000001,0,0,0,5.210000000000001
min_bulk,min_tau,9,"[[4, -4], [5, -5]]","[[4, -5], [6, -6]]",,21,20,1,0,1,0,0,0,11.799999999999997,5.2,1,0,-400,1.0700000000000012
min_bulk,min_tau,10,"[[-3, 2], [3, -4]]","[[4, 0], [-5, 4]]",,23,22,0,0,0,0,0,0,8.4,4.400000000000001,0,0,0,1.4600000000000013
min_bulk,min_tau,11,"[[4, -1], [5, -1]]","[[5, -4], [6, -1]]",,25,24,0,0,0,0,0,0,6.600000000000001,1.9999999999999998,0,0,-400,-0.3100000000000007
min_bulk,min_tau,12,"[[-4, 4], [-3, 4]]","[[-3, 3], [-5, 0]]",,27,26,0,0,0,0,0,0,7.6000000000000005,0.4,0,0,0,-2.2600000000000002
min_bulk,min_tau,13,"[[-2, 3], [-1, 3]]","[[-5, 1], [-5, 3]]",,29,28,1,0,2,0,0,0,21.799999999999997,0.2,2,0,0,-7.429999999999998
min_bulk,min_tau,14,"[[0, 4], [-5, 2]]","[[6, -2], [6, -3]]",,31,30,1,0,1,0,0,0,11.399999999999999,1.0,1,0,0,-2.9899999999999993
min_bulk,min_tau,15,"[[0, 2], [6, -4]]","[[0, 5], [1, 4]]",,33,32,0,0,0,0,0,0,3.6000000000000005,0.0,0,0,0,-1.26
min_bulk,min_atoms,0,"[[1, 0], [1, -1]]","[[0, -1], [1, -2]]",,3,2,0,0,0,0,0,0,12.399999999999997,3.0000000000000004,0,0,0,-1.3399999999999985
min_bulk,min_atoms,1,"[[-1, 0], [0, 1]]","[[0, -2], [3, -2]]",,5,4,0,0,0,0,0,0,19.399999999999995,7.000000000000003,0,0,0,0.2100000000000044
min_bulk,min_atoms,2,"[[2, -2], [-1, -1]]","[[0, -3], [0, -4]]",,7,6,1,0,2,0,0,0,39.000000000000014,12.999999999999996,2,0,0,-0.6500000000000075
min_bulk,min_atoms,3,"[[-1, 1], [0, -5]]","[[-1, 2], [-1, -2]]",,9,8,0,0,0,0,0,0,12.399999999999999,10.799999999999997,0,0,0,6.459999999999998
min_bulk,min_atoms,4,"[[-2, 1], [1, 1]]","[[2, 1], [-4, 1]]",,11,10,0,0,0,0,0,0,19.199999999999992,10.799999999999994,0,0,0,4.0799999999999965
min_bulk,min_atoms,5,"[[-2, -1], [-3, 0]]","[[-2, 2], [1, 2]]",,13,12,0,0,0,0,0,0,24.99999999999999,8.000000000000002,0,0,0,-0.7499999999999947
min_bulk,min_atoms,6,"[[0, 2], [3, 0]]","[[-2, -2], [-3, -2]]",,15,14,1,0,1,0,0,0,34.0,11.799999999999997,1,0,0,-0.10000000000000142
min_bulk,min_atoms,7,"[[2, 0], [-4, -2]]","[[3, -1], [-3, 5]]",,17,16,0,0,0,0,0,0,10.2,9.4,0,0,0,5.830000000000001
min_bulk,min_atoms,8,"[[3, -3], [2, -3]]","[[4, -4], [2, -4]]",,19,18,0,0,0,0,0,0,15.399999999999993,8.200000000000001,0,0,0,2.810000000000004
min_bulk,min_atoms,9,"[[-3, 2], [4, 0]]","[[3, -4], [5, 0]]",,21,20,1,0,2,0,0,0,28.59999999999999,8.8,2,0,0,-1.2099999999999955
min_bulk,min_atoms,10,"[[1, -4], [-1, -3]]","[[0, 3], [-4, 3]]",,23,22,0,0,0,0,0,0,10.399999999999999,4.800000000000001,0,0,0,1.1600000000000015
