opening_id,radius,white_pair,best_black_reply,score,nodes,cache_hits,final_class,black_tau,white_tau,black_obligations,white_obligations,black_bulk_pressure,white_bulk_pressure,principal_variation
O0053,3,"[[-3, 1], [0, 1]]","[[1, 0], [-1, 1]]",-0.14,233,0,screened_or_balanced,0,0,0,0,4.4,0.0,"[{""move"": [[1, 0], [-1, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[1, -1], [-1, 0]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0054,3,"[[-3, 1], [0, 2]]","[[1, -1], [-1, 1]]",0.07,288,0,black_bulk_edge,0,0,0,0,7.0,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.06999999999999999}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.06999999999999999}]"
O0055,3,"[[-3, 1], [1, -3]]","[[1, -1], [-1, 1]]",0.14,318,21,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0056,3,"[[-3, 1], [1, -2]]","[[1, 0], [-1, 0]]",-0.14,320,0,black_bulk_edge,0,0,0,0,7.2,0.2,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": -0.13999999999999996}, {""move"": [[-1, 1], [2, 0]], ""player"": ""white"", ""score"": -0.13999999999999996}]"
O0057,3,"[[-3, 1], [1, -1]]","[[1, 0], [-1, 0]]",-0.28,189,0,black_bulk_edge,0,0,0,0,7.0,0.4,"[{""move"": [[1, 0], [-1, 0]], ""player"": ""black"", ""score"": -0.27999999999999997}, {""move"": [[0, -1], [2, 0]], ""player"": ""white"", ""score"": -0.27999999999999997}]"
O0058,3,"[[-3, 1], [1, 0]]","[[1, -1], [0, 1]]",-0.14,242,0,screened_or_balanced,0,0,0,0,4.2,0.0,"[{""move"": [[1, -1], [0, 1]], ""player"": ""black"", ""score"": -0.13999999999999999}, {""move"": [[0, -1], [-1, 1]], ""player"": ""white"", ""score"": -0.13999999999999999}]"
O0059,3,"[[-3, 1], [1, 1]]","[[1, -1], [-1, 1]]",0.14,300,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0060,3,"[[-3, 1], [1, 2]]","[[1, -1], [-1, 1]]",0.14,333,0,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[0, -1], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0061,3,"[[-3, 1], [2, -2]]","[[0, -1], [0, 1]]",0.07,323,0,black_bulk_edge,0,0,0,0,7.0,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.06999999999999999}, {""move"": [[1, 0], [0, -2]], ""player"": ""white"", ""score"": 0.06999999999999999}]"
O0062,3,"[[-3, 1], [2, -1]]","[[1, -1], [0, 1]]",0.07,304,0,screened_or_balanced,0,0,0,0,4.6,0.0,"[{""move"": [[1, -1], [0, 1]], ""player"": ""black"", ""score"": 0.07000000000000002}, {""move"": [[0, -1], [-1, 1]], ""player"": ""white"", ""score"": 0.07000000000000002}]"
O0063,3,"[[-3, 1], [2, 0]]","[[1, -1], [1, 1]]",0.07,259,0,screened_or_balanced,0,0,0,0,3.6,0.0,"[{""move"": [[1, -1], [1, 1]], ""player"": ""black"", ""score"": 0.07000000000000002}, {""move"": [[1, 0], [-1, 1]], ""player"": ""white"", ""score"": 0.07000000000000002}]"
O0064,3,"[[-3, 1], [2, 1]]","[[1, -1], [-1, 1]]",0.21,281,20,black_bulk_edge,0,0,0,0,7.4,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.21000000000000002}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.21000000000000002}]"
O0065,3,"[[-3, 1], [3, -2]]","[[0, -1], [0, 1]]",0.14,352,45,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[0, -1], [0, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, -1], [0, -2]], ""player"": ""white"", ""score"": 0.14}]"
O0066,3,"[[-3, 1], [3, -1]]","[[1, -1], [-1, 1]]",0.14,273,36,black_bulk_edge,0,0,0,0,7.2,0.0,"[{""move"": [[1, -1], [-1, 1]], ""player"": ""black"", ""score"": 0.14}, {""move"": [[1, 0], [2, -2]], ""player"": ""white"", ""score"": 0.14}]"
