conway_embedding_signature,templates,events,families,manifold_labels,mean_convex_deficit,mean_boundary_edges,mean_a2_diameter
"(2, 2, 0, 29, '(9, 9, 8)', (19, 19, 18, 18, 14, 14), ((9, 9, 4, 4, 3, 3, 3, 3, 2, 1), (9, 8, 4, 4, 4, 3, 3, 2, 2, 2), (9, 7, 4, 4, 4, 4, 4, 3, 2)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",29.0,102.0,9.0
"(2, 2, 0, 25, '(9, 8, 8)', (18, 18, 17, 17, 14, 14), ((9, 9, 4, 4, 4, 3, 3, 3, 1), (9, 7, 4, 4, 4, 4, 3, 3, 2), (8, 8, 4, 4, 4, 3, 3, 2, 2, 2)))",1,1,"{""kink_bridge"":1}","{""disconnected"":1}",25.0,98.0,9.0
"(2, 1, 0, 28, '(9, 9, 8)', (14, 14, 14, 14, 13, 13), ((9, 9, 7, 3, 3, 3, 3, 3, 2), (9, 8, 4, 4, 4, 4, 3, 3, 2, 1), (9, 5, 5, 4, 4, 4, 4, 3, 3, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,82.0,9.0
"(2, 1, 0, 28, '(9, 9, 8)', (17, 17, 17, 17, 13, 13), ((9, 8, 6, 4, 3, 3, 3, 3, 3), (9, 7, 5, 5, 4, 3, 3, 3, 2, 1), (9, 7, 5, 4, 4, 4, 3, 3, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,94.0,9.0
"(2, 1, 0, 47, '(12, 9, 9)', (25, 25, 24, 24, 12, 12), ((10, 8, 4, 4, 3, 3, 3, 3, 2, 1), (9, 9, 9, 3, 2, 2, 2, 2, 2, 1), (7, 4, 4, 4, 4, 4, 3, 3, 3, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",47.0,122.0,12.0
"(2, 2, 0, 30, '(9, 9, 8)', (18, 18, 17, 17, 14, 14), ((9, 8, 4, 4, 4, 3, 3, 3, 1, 1), (9, 8, 4, 4, 4, 3, 3, 2, 2, 1), (9, 7, 4, 4, 4, 4, 4, 2, 2)))",1,1,"{""adjacent"":1}","{""disconnected"":1}",30.0,98.0,9.0
"(2, 1, 0, 33, '(10, 8, 8)', (20, 20, 20, 20, 14, 14), ((9, 9, 3, 3, 3, 3, 2, 2, 2), (9, 4, 4, 3, 3, 3, 3, 2, 2, 2, 1), (8, 8, 3, 3, 3, 3, 3, 3, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",33.0,108.0,10.0
"(2, 1, 0, 44, '(10, 9, 9)', (19, 19, 18, 18, 14, 14), ((9, 9, 3, 3, 3, 2, 2, 2, 1, 1), (9, 8, 3, 3, 3, 3, 2, 2, 1, 1), (8, 4, 4, 3, 3, 3, 3, 3, 2, 1, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",44.0,102.0,10.0
"(2, 1, 0, 28, '(9, 8, 8)', (16, 16, 15, 15, 14, 14), ((9, 8, 3, 3, 3, 3, 3, 3, 2), (9, 6, 4, 4, 3, 3, 3, 3, 1, 1), (8, 7, 4, 4, 3, 3, 3, 3, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",28.0,90.0,9.0
"(2, 1, 0, 32, '(10, 8, 8)', (20, 20, 19, 19, 14, 14), ((9, 9, 3, 3, 3, 3, 3, 2, 2), (9, 8, 3, 3, 3, 3, 3, 3, 2), (9, 4, 4, 4, 3, 3, 3, 3, 2, 1, 1)))",1,1,"{""rail"":1}","{""disk"":1}",32.0,106.0,10.0
"(2, 1, 0, 40, '(10, 9, 8)', (20, 20, 18, 18, 13, 13), ((9, 9, 3, 3, 3, 2, 2, 2, 1), (8, 8, 3, 3, 3, 3, 2, 2, 1, 1), (8, 4, 3, 3, 3, 3, 3, 2, 2, 2, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",40.0,102.0,10.0
"(2, 1, 0, 30, '(9, 9, 8)', (17, 17, 17, 17, 14, 14), ((9, 8, 4, 4, 4, 3, 3, 2, 2), (9, 7, 4, 4, 3, 3, 3, 3, 2, 1), (9, 7, 4, 3, 3, 3, 3, 3, 3, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",30.0,96.0,9.0
"(2, 1, 0, 26, '(9, 8, 8)', (14, 14, 14, 14, 14, 14), ((9, 8, 4, 4, 4, 3, 3, 2, 2), (9, 7, 6, 3, 3, 3, 3, 3, 2), (9, 5, 5, 4, 4, 3, 3, 3, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",26.0,84.0,9.0
"(2, 1, 0, 24, '(8, 8, 8)', (17, 17, 15, 15, 12, 12), ((9, 7, 6, 3, 3, 3, 2, 2, 1), (8, 8, 4, 4, 3, 3, 2, 2, 2), (8, 4, 4, 4, 4, 4, 3, 3, 2)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",24.0,88.0,8.0
"(2, 1, 0, 20, '(8, 8, 7)', (15, 15, 14, 14, 14, 14), ((9, 6, 4, 4, 4, 3, 3, 3), (8, 8, 3, 3, 3, 3, 3, 3, 2), (8, 7, 4, 4, 3, 3, 3, 2, 2)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",20.0,86.0,8.0
"(2, 1, 0, 32, '(10, 8, 8)', (20, 20, 20, 20, 14, 14), ((9, 9, 3, 3, 3, 3, 3, 2, 2), (9, 8, 3, 3, 3, 3, 3, 3, 2), (9, 4, 4, 3, 3, 3, 3, 3, 2, 2, 1)))",1,1,"{""rail"":1}","{""disk"":1}",32.0,108.0,10.0
"(2, 1, 0, 26, '(8, 8, 8)', (18, 18, 17, 17, 13, 13), ((9, 7, 3, 3, 3, 3, 3, 2, 1), (9, 4, 4, 3, 3, 3, 3, 3, 2), (8, 8, 3, 3, 3, 3, 2, 2, 2)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",26.0,96.0,8.0
"(2, 1, 0, 31, '(9, 8, 8)', (18, 18, 17, 17, 13, 13), ((9, 8, 3, 3, 3, 3, 2, 2, 1), (9, 7, 3, 3, 3, 3, 2, 2, 2), (8, 4, 4, 3, 3, 3, 3, 3, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",31.0,96.0,9.0
"(2, 1, 0, 31, '(9, 8, 8)', (18, 18, 17, 17, 13, 13), ((9, 8, 3, 3, 3, 2, 2, 2, 2), (9, 7, 3, 3, 3, 3, 3, 2, 1), (8, 4, 4, 3, 3, 3, 3, 3, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",31.0,96.0,9.0
"(2, 1, 0, 27, '(8, 8, 8)', (17, 17, 16, 16, 13, 13), ((9, 7, 3, 3, 3, 3, 2, 2, 1), (8, 8, 3, 3, 3, 3, 2, 2, 1), (8, 4, 4, 4, 3, 3, 3, 3, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",27.0,92.0,8.0
"(2, 1, 0, 29, '(9, 8, 8)', (18, 18, 17, 17, 14, 14), ((9, 8, 4, 3, 3, 3, 2, 2, 2), (9, 7, 4, 3, 3, 3, 3, 2, 2), (9, 4, 4, 4, 3, 3, 3, 3, 2, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",29.0,98.0,9.0
"(2, 1, 0, 30, '(9, 8, 8)', (18, 18, 18, 18, 14, 14), ((9, 8, 3, 3, 3, 3, 2, 2, 2), (9, 7, 3, 3, 3, 3, 3, 2, 2), (9, 4, 4, 3, 3, 3, 3, 3, 2, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",30.0,100.0,9.0
"(2, 1, 0, 29, '(9, 8, 8)', (18, 18, 17, 17, 14, 14), ((9, 8, 3, 3, 3, 3, 3, 2, 2), (9, 7, 4, 3, 3, 3, 3, 2, 2), (9, 4, 4, 4, 3, 3, 3, 3, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",29.0,98.0,9.0
"(2, 1, 0, 68, '(12, 11, 9)', (19, 19, 19, 19, 13, 13), ((10, 4, 4, 4, 4, 2, 1, 1, 1, 1), (9, 6, 6, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1), (6, 4, 3, 3, 3, 3, 3, 2, 2, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",68.0,102.0,12.0
"(2, 1, 0, 38, '(9, 8, 7)', (13, 13, 10, 10, 8, 8), ((8, 8, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 1, 1, 1, 1), (3, 3, 3, 3, 3, 2, 2, 2, 1)))",1,1,"{""bridge_fork"":1}","{""disk"":1}",38.0,62.0,9.0
"(2, 1, 0, 32, '(9, 7, 7)', (18, 18, 16, 16, 8, 8), ((8, 8, 2, 1, 1, 1, 1, 1), (8, 3, 2, 2, 2, 2, 2, 2), (4, 3, 3, 3, 2, 2, 2, 2, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",32.0,84.0,9.0
"(2, 1, 0, 38, '(9, 8, 7)', (14, 14, 9, 9, 8, 8), ((8, 8, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",38.0,62.0,9.0
"(2, 1, 0, 37, '(9, 8, 7)', (14, 14, 9, 9, 8, 8), ((8, 8, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 2, 1, 1), (3, 3, 3, 3, 2, 2, 2, 2, 1, 1)))",1,1,"{""rail_ladder"":1}","{""disk"":1}",37.0,62.0,9.0
"(2, 1, 0, 37, '(9, 8, 7)', (13, 13, 10, 10, 8, 8), ((8, 8, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 1, 1, 1, 1), (3, 3, 3, 3, 3, 2, 2, 2, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",37.0,62.0,9.0
"(2, 1, 0, 33, '(9, 7, 7)', (13, 13, 8, 8, 8, 8), ((8, 8, 1, 1, 1, 1, 1, 1), (8, 2, 2, 2, 2, 2, 2, 2), (3, 3, 3, 3, 2, 2, 2, 2, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",33.0,58.0,9.0
"(2, 1, 0, 29, '(8, 7, 7)', (14, 14, 13, 13, 13, 13), ((8, 3, 2, 2, 2, 2, 2, 2), (8, 3, 2, 2, 2, 2, 2, 2), (8, 3, 2, 2, 2, 2, 2, 1, 1)))",1,1,"{""adjacent"":1}","{""disk"":1}",29.0,80.0,8.0
"(2, 1, 0, 48, '(10, 9, 8)', (14, 14, 13, 13, 12, 12), ((9, 6, 2, 2, 2, 2, 1, 1, 1), (9, 3, 3, 2, 2, 2, 2, 1, 1, 1), (7, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1)))",1,1,"{""kink_bridge"":1}","{""disk"":1}",48.0,78.0,10.0
